Diner ID 	Time of Arrival 	Time of Seating 	Table ID	Cook ID	Burger Machine Time	Fries Machine Time	Soda Machine Time	Food Served Time	Time of Leaving
0        	1               	1               	0       	0      	1                	11                	-1               	14               	44
1        	2               	2               	1       	3      	21                	-1                	2               	41               	71
2        	3               	3               	2       	2      	11                	3                	-1               	21               	51
3        	4               	4               	3       	1      	76                	6                	-1               	86               	116
4        	5               	5               	4       	2      	66                	-1                	21               	76               	106
5        	6               	6               	5       	0      	41                	14                	-1               	51               	81
6        	7               	44               	0       	0      	51                	44                	47               	56               	86
7        	41               	51               	2       	0      	56                	51                	-1               	66               	96
8        	42               	71               	1       	3      	96                	-1                	71               	116               	146
9        	43               	81               	5       	0      	86                	81                	-1               	96               	126
10        	44               	86               	0       	2      	141                	86                	-1               	151               	181
11        	45               	96               	2       	1      	131                	-1                	96               	141               	171
12        	46               	106               	4       	0      	116                	106                	-1               	126               	156
13        	47               	116               	3       	3      	126                	116                	119               	131               	161
14        	81               	126               	5       	0      	151                	126                	-1               	161               	191
15        	82               	146               	1       	3      	191                	-1                	146               	211               	241
16        	83               	156               	4       	1      	161                	156                	-1               	171               	201
17        	84               	161               	3       	3      	171                	161                	-1               	181               	211
18        	85               	171               	2       	0      	181                	-1                	171               	191               	221
19        	86               	181               	0       	1      	211                	181                	-1               	221               	251
